sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0,979;1001;;1000rounds;No;Yes;1;0,00000;0,00000;0,88356;0,98900;0,00000;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@150;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Grocery_domain_sam.xml;Grocery_domain_mary.xml
0,596;694;;1000rounds;Yes;Yes;2;0,70600;0,76196;0,00000;0,07530;1,46797;Agent_K2@152;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@153;0.82;0.885;0.7060012943803764;0.7619648116178454;0.0;0.7619648116178454;0.0;0.0;0.7060012943803764;0.7619648116178454;Grocery_domain_sam.xml;Grocery_domain_mary.xml
0,910;804;;1000rounds;Yes;Yes;2;0,70624;0,75248;0,00000;0,00000;1,45872;Agent_K@154;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@155;0.895;0.8400000000000001;0.7524816153391687;0.7062397283630187;0.0;0.7062397283630187;0.0;0.0;0.7524816153391687;0.7062397283630187;Grocery_domain_sam.xml;Grocery_domain_mary.xml
2,957;935;;1000rounds;Yes;Yes;2;0,68654;0,73149;0,00000;0,00000;1,41802;Yushu@156;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@157;0.895;0.8400000000000001;0.7314879175744041;0.6865361461033513;0.0;0.6865361461033513;0.0;0.0;0.7314879175744041;0.6865361461033513;Grocery_domain_sam.xml;Grocery_domain_mary.xml
0,556;759;;1000rounds;Yes;Yes;2;0,65795;0,81501;0,00000;0,14408;1,47297;Gahboninho@158;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@159;0.775;0.96;0.6579545319227289;0.8150146459946062;0.0;0.8150146459946062;0.0;0.0;0.6579545319227289;0.8150146459946062;Grocery_domain_sam.xml;Grocery_domain_mary.xml
1,097;644;;1000rounds;Yes;Yes;2;0,73107;0,77894;0,00000;0,00000;1,51002;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@160;Agent_K2@161;0.895;0.8400000000000001;0.7789418500713766;0.7310739151507893;0.7789418500713766;0.0;0.0;0.0;0.7789418500713766;0.7310739151507893;Grocery_domain_sam.xml;Grocery_domain_mary.xml
0,623;614;;1000rounds;Yes;Yes;2;0,73583;0,78401;0,00000;0,00000;1,51983;Agent_K2@162;Agent_K2@163;0.895;0.8400000000000001;0.7840057578843648;0.7358266330981749;0.0;0.0;0.0;0.0;0.7840057578843648;0.7358266330981749;Grocery_domain_sam.xml;Grocery_domain_mary.xml
1,142;755;;1000rounds;Yes;Yes;2;0,71375;0,76049;0,00000;0,00000;1,47424;Agent_K@164;Agent_K2@165;0.895;0.8400000000000001;0.7604881374494906;0.7137542295615331;0.0;0.0;0.0;0.0;0.7604881374494906;0.7137542295615331;Grocery_domain_sam.xml;Grocery_domain_mary.xml
2,411;826;;1000rounds;Yes;Yes;2;0,52717;0,81586;0,00000;0,18804;1,34303;Yushu@166;Agent_K2@167;0.975;0.63;0.8158563850810269;0.5271687411292789;0.0;0.0;0.0;0.0;0.8158563850810269;0.5271687411292789;Grocery_domain_sam.xml;Grocery_domain_mary.xml
0,533;760;;1000rounds;Yes;Yes;2;0,58567;0,78513;0,00000;0,12984;1,37080;Gahboninho@168;Agent_K2@169;0.925;0.6900000000000001;0.7851309645821287;0.585665260066669;0.0;0.0;0.0;0.0;0.7851309645821287;0.585665260066669;Grocery_domain_sam.xml;Grocery_domain_mary.xml
