sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0,528;1001;;1000rounds;No;Yes;1;0,00000;0,00000;0,88356;0,98900;0,00000;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1936;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1937;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Grocery_domain_sam.xml;Grocery_domain_mary.xml
0,461;732;;1000rounds;Yes;Yes;2;0,71731;0,76428;0,00000;0,00000;1,48158;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1938;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1939;0.895;0.8400000000000001;0.7642756243569697;0.7173089658769325;0.7642756243569697;0.7173089658769325;0.0;0.0;0.7642756243569697;0.7173089658769325;Grocery_domain_sam.xml;Grocery_domain_mary.xml
0,594;1001;;1000rounds;No;Yes;1;0,00000;0,00000;0,88356;0,98900;0,00000;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1940;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Grocery_domain_sam.xml;Grocery_domain_mary.xml
0,614;728;;1000rounds;Yes;Yes;2;0,71793;0,76494;0,00000;0,00000;1,48287;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1942;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1943;0.895;0.8400000000000001;0.7649362406170324;0.7179289856070472;0.7649362406170324;0.7179289856070472;0.0;0.0;0.7649362406170324;0.7179289856070472;Grocery_domain_sam.xml;Grocery_domain_mary.xml
0,492;1001;;1000rounds;No;Yes;1;0,00000;0,00000;0,88356;0,98900;0,00000;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1944;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1945;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Grocery_domain_sam.xml;Grocery_domain_mary.xml
0,278;578;;1000rounds;Yes;Yes;2;0,74157;0,79013;0,00000;0,00000;1,53170;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1946;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1947;0.895;0.8400000000000001;0.790125921141113;0.7415706969369106;0.790125921141113;0.7415706969369106;0.0;0.0;0.790125921141113;0.7415706969369106;Grocery_domain_sam.xml;Grocery_domain_mary.xml
0,250;434;;1000rounds;Yes;Yes;2;0,74678;0,80598;0,00000;0,07965;1,55277;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1948;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1949;0.82;0.885;0.7467846049548826;0.8059809455915502;0.7467846049548826;0.8059809455915502;0.0;0.0;0.7467846049548826;0.8059809455915502;Grocery_domain_sam.xml;Grocery_domain_mary.xml
0,244;580;;1000rounds;Yes;Yes;2;0,74125;0,78978;0,00000;0,00000;1,53104;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1950;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1951;0.895;0.8400000000000001;0.7897846621261417;0.741250409146323;0.7897846621261417;0.741250409146323;0.0;0.0;0.7897846621261417;0.741250409146323;Grocery_domain_sam.xml;Grocery_domain_mary.xml
0,307;712;;1000rounds;Yes;Yes;2;0,72041;0,76758;0,00000;0,00000;1,48800;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.BayesianModel_m-negotiator.boaframework.omstrategy.OfferBestN_t_n@1952;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1953;0.895;0.8400000000000001;0.767584420758156;0.7204144284210626;0.767584420758156;0.7204144284210626;0.0;0.0;0.767584420758156;0.7204144284210626;Grocery_domain_sam.xml;Grocery_domain_mary.xml
0,270;548;;1000rounds;Yes;Yes;2;0,74639;0,79526;0,00000;0,00000;1,54165;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.BayesianModel_m-negotiator.boaframework.omstrategy.OfferBestN_n_t@1954;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1955;0.895;0.8400000000000001;0.795262536698416;0.7463916545549379;0.795262536698416;0.7463916545549379;0.0;0.0;0.795262536698416;0.7463916545549379;Grocery_domain_sam.xml;Grocery_domain_mary.xml
