Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
24,471;958;;1000rounds;Yes;Yes;2;0,46279;0,47504;0,01011;0,01420;0,93783;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@46;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@47;0.6254278790084555;0.6092949244238189;0.4750401445398184;0.46278645177209243;0.4750401445398184;0.46278645177209243;0.0;0.0;0.4750401445398184;0.46278645177209243;Energy-A-prof1.xml;Energy-A-prof2.xml
12,952;838;;1000rounds;Yes;Yes;2;0,39236;0,53967;0,02157;0,10541;0,93203;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@48;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@49;0.4990613953454581;0.6864347844322041;0.3923599976280281;0.5396721784204155;0.3923599976280281;0.5396721784204155;0.0;0.0;0.3923599976280281;0.5396721784204155;Energy-A-prof1.xml;Energy-A-prof2.xml
11,616;938;;1000rounds;Yes;Yes;2;0,47793;0,47936;0,00000;0,00641;0,95729;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@50;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@51;0.6274981785220793;0.6256235249114465;0.47936003560927;0.47792794536214844;0.47936003560927;0.47792794536214844;0.0;0.0;0.47936003560927;0.47792794536214844;Energy-A-prof1.xml;Energy-A-prof2.xml
9,123;827;;1000rounds;Yes;Yes;2;0,43085;0,54396;0,00422;0,07589;0,97482;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@52;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@53;0.5462945829858142;0.6897087451223953;0.4308544610449669;0.5439630904511945;0.4308544610449669;0.5439630904511945;0.0;0.0;0.4308544610449669;0.5439630904511945;Energy-A-prof1.xml;Energy-A-prof2.xml
7,632;770;;1000rounds;Yes;Yes;2;0,49655;0,50690;0,00286;0,00843;1,00345;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@56;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@57;0.6193571232700171;0.6322750266652912;0.49654570564531747;0.5069021368800124;0.49654570564531747;0.5069021368800124;0.0;0.0;0.49654570564531747;0.5069021368800124;Energy-A-prof1.xml;Energy-A-prof2.xml
14,636;827;;1000rounds;Yes;Yes;2;0,39469;0,51501;0,04131;0,09590;0,90970;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@60;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@61;0.5004407304857924;0.6529971618536692;0.39469020549304;0.5150092074803924;0.39469020549304;0.5150092074803924;0.0;0.0;0.39469020549304;0.5150092074803924;Energy-A-prof1.xml;Energy-A-prof2.xml
13,904;958;;1000rounds;Yes;Yes;2;0,43332;0,46454;0,03388;0,03879;0,89786;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@64;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@65;0.5704952016403807;0.6116038663692236;0.4333163457250606;0.46454019533276963;0.4333163457250606;0.46454019533276963;0.0;0.0;0.4333163457250606;0.46454019533276963;Energy-A-prof1.xml;Energy-A-prof2.xml
15,957;827;;1000rounds;Yes;Yes;2;0,38488;0,54944;0,02272;0,11719;0,93432;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@68;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@69;0.48800365045094707;0.6966562039129078;0.38488126434246384;0.5494424484863009;0.38488126434246384;0.5494424484863009;0.0;0.0;0.38488126434246384;0.5494424484863009;Energy-A-prof1.xml;Energy-A-prof2.xml
18,067;835;;1000rounds;Yes;Yes;2;0,39226;0,55472;0,01253;0,11310;0,94697;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.BayesianModel_m-negotiator.boaframework.omstrategy.OfferBestN_t_n@70;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@71;0.49850027097996685;0.7049622382057683;0.39225689586103246;0.5547164472232616;0.39225689586103246;0.5547164472232616;0.0;0.0;0.39225689586103246;0.5547164472232616;Energy-A-prof1.xml;Energy-A-prof2.xml
53,073;982;;1000rounds;Yes;Yes;2;0,46975;0,47488;0,00000;0,00841;0,94463;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.BayesianModel_m-negotiator.boaframework.omstrategy.OfferBestN_n_t@74;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@75;0.6295422389286812;0.6227455429008758;0.47487840011770205;0.46975149371462555;0.47487840011770205;0.46975149371462555;0.0;0.0;0.47487840011770205;0.46975149371462555;Energy-A-prof1.xml;Energy-A-prof2.xml
